Image_ID,File_Name,Class_Label,Source_Folder,Width,Height,Aspect_Ratio,Avg_Red,Avg_Green,Avg_Blue,Brightness,Contrast,Leaf_Area_Pixels,Green_Pixel_Ratio,Edge_Density
k_1,k_1.png,-K,FNNPK/-K,1024,1001,1.023,122.23338317871094,129.2777557373047,78.34904479980469,121.36561584472656,45.172142028808594,473661,0.46209747283966035,0.014583073176823176
k_10,k_10.png,-K,FNNPK/-K,1020,1002,1.018,159.04176330566406,157.82757568359375,121.49104309082031,154.0482635498047,73.16634368896484,262955,0.2572844507064303,0.016479785526985244
k_11,k_11.png,-K,FNNPK/-K,1024,1002,1.022,161.31787109375,164.5128936767578,129.48187255859375,159.5640411376953,71.794677734375,340178,0.3315419941367265,0.014269312936626746
k_12,k_12.png,-K,FNNPK/-K,1020,1002,1.018,156.1454315185547,174.45179748535156,123.63062286376953,163.18458557128906,76.24372863769531,450897,0.4411735352823764,0.0327002857031036
k_13,k_13.png,-K,FNNPK/-K,1024,1003,1.0209,158.6751251220703,173.21621704101562,123.18058013916016,163.16436767578125,78.6054916381836,354110,0.344776218220339,0.014274559135094716
k_14,k_14.png,-K,FNNPK/-K,1023,1003,1.0199,149.8857421875,161.88937377929688,96.66637420654297,150.8648681640625,76.99324798583984,449947,0.43851534351003685,0.010012971837176643
k_15,k_15.png,-K,FNNPK/-K,1023,1006,1.0169,206.28297424316406,207.6862335205078,179.99191284179688,204.10952758789062,56.38058090209961,185373,0.18012453140395165,0.009196045622647303
k_16,k_16.png,-K,FNNPK/-K,1015,1006,1.0089,214.8531036376953,216.47683715820312,184.25692749023438,212.31826782226562,48.26344299316406,227110,0.22241917950425524,0.0042131447766602355
k_17,k_17.png,-K,FNNPK/-K,1023,1005,1.0179,218.15692138671875,221.05960083007812,181.2740936279297,215.65615844726562,44.52635955810547,228144,0.22190513707124204,0.004769894418425955
k_18,k_18.png,-K,FNNPK/-K,1024,1003,1.0209,219.4103240966797,221.7957763671875,193.21615600585938,217.82443237304688,49.11436080932617,205693,0.2002712565428714,0.004677374127617148
k_19,k_19.png,-K,FNNPK/-K,1024,1003,1.0209,215.0603790283203,220.08749389648438,191.87649536132812,215.3683319091797,49.26582717895508,189989,0.1849811892447657,0.005772720899800598
k_2,k_2.png,-K,FNNPK/-K,1023,1005,1.0179,143.17318725585938,135.8935546875,90.58694458007812,132.90521240234375,48.319847106933594,261567,0.2544141462774106,0.008580752153212433
k_20,k_20.png,-K,FNNPK/-K,1024,1003,1.0209,169.6216278076172,174.8319091796875,160.66107177734375,171.65855407714844,45.90884780883789,126311,0.12298164101445663,0.006590579823030907
k_21,k_21.png,-K,FNNPK/-K,1024,1007,1.0169,172.70643615722656,176.45040893554688,157.71365356445312,173.1949462890625,53.33415603637695,166897,0.16185238486842105,0.00982284167080437
k_22,k_22.png,-K,FNNPK/-K,1020,1005,1.0149,170.83009338378906,170.92698669433594,136.47021484375,166.96995544433594,48.17012023925781,101289,0.09880889669300556,0.0068988391376451075
k_23,k_23.png,-K,FNNPK/-K,1023,1006,1.0169,156.7311553955078,166.18170166015625,139.90744018554688,160.3607177734375,53.29646301269531,61111,0.059380763318427655,0.009449655925638739
k_24,k_24.png,-K,FNNPK/-K,1023,1006,1.0169,166.48199462890625,169.7862548828125,142.59983825683594,165.69903564453125,40.95805358886719,68995,0.06704154350534136,0.005975874955545321
k_25,k_25.png,-K,FNNPK/-K,1023,1006,1.0169,154.78016662597656,177.54222106933594,139.8829345703125,166.44320678710938,59.98214340209961,330987,0.3216157599855413,0.0053306747977433545
k_26,k_26.png,-K,FNNPK/-K,1023,1005,1.0179,189.10043334960938,190.79026794433594,135.6184844970703,183.99542236328125,64.0560302734375,80989,0.07877426163415571,0.007519586816649888
k_27,k_27.png,-K,FNNPK/-K,1024,1007,1.0169,154.1439971923828,173.4368438720703,145.26510620117188,164.4567108154297,62.404510498046875,269140,0.26100499627606755,0.008013243234856008
k_28,k_28.png,-K,FNNPK/-K,1023,1006,1.0169,149.60548400878906,170.35861206054688,136.63540649414062,160.30897521972656,66.739501953125,299624,0.29114074108622945,0.007103031857729479
k_29,k_29.png,-K,FNNPK/-K,1023,1006,1.0169,150.25999450683594,158.25665283203125,115.99588775634766,151.04791259765625,74.28242492675781,341969,0.33228682645087443,0.008351649632993827
k_3,k_3.png,-K,FNNPK/-K,1023,1005,1.0179,141.11744689941406,136.21446228027344,90.30062103271484,132.44627380371094,46.1745719909668,263090,0.25589549807171375,0.008550599884254193
k_30,k_30.png,-K,FNNPK/-K,1023,1005,1.0179,143.21946716308594,147.5319366455078,109.22462463378906,141.87547302246094,71.84884643554688,312808,0.3042539015577051,0.006816358092236763
k_31,k_31.png,-K,FNNPK/-K,1024,1005,1.0189,146.796630859375,144.12901306152344,107.32975769042969,140.7315216064453,73.69635009765625,183029,0.17785000777363183,0.0076006685323383085
k_32,k_32.png,-K,FNNPK/-K,1024,1007,1.0169,143.36265563964844,155.40167236328125,104.67755126953125,146.0194549560547,58.168479919433594,546019,0.5295150741683218,0.021947927010923535
k_33,k_33.png,-K,FNNPK/-K,1024,1008,1.0159,149.4968719482422,158.11117553710938,97.8625717163086,148.6671600341797,53.24314498901367,429603,0.41620454334077384,0.009008982824900794
k_34,k_34.png,-K,FNNPK/-K,1023,1005,1.0179,147.14109802246094,156.031494140625,108.61721801757812,147.96803283691406,68.40779113769531,501340,0.48763027482334176,0.013998434027321847
k_35,k_35.png,-K,FNNPK/-K,1023,1005,1.0179,148.60411071777344,157.80825805664062,92.28850555419922,147.5869598388672,60.450836181640625,469587,0.45674559752556865,0.007445665125010334
k_36,k_36.png,-K,FNNPK/-K,1023,1006,1.0169,149.1470184326172,155.58441162109375,115.1480941772461,149.0498809814453,70.93802642822266,420220,0.4083223046860576,0.016076561160893874
k_37,k_37.png,-K,FNNPK/-K,1024,1007,1.0169,188.216552734375,194.34674072265625,135.74681091308594,185.8334197998047,60.82090377807617,330366,0.3203803841857001,0.02340646722939424
k_38,k_38.png,-K,FNNPK/-K,1023,1006,1.0169,135.0013427734375,140.5076446533203,116.07267761230469,136.07568359375,82.7828598022461,240183,0.23338269503215311,0.00804653991981639
k_39,k_39.png,-K,FNNPK/-K,1023,1006,1.0169,131.5888671875,138.35482788085938,111.50100708007812,133.2704620361328,81.82685852050781,262076,0.25465583818690984,0.009477834848193343
k_4,k_4.png,-K,FNNPK/-K,1024,1003,1.0209,146.3531036376953,137.3997344970703,100.18563842773438,135.83438110351562,52.60930252075195,203630,0.19826263397308075,0.009308013459621137
k_40,k_40.png,-K,FNNPK/-K,1023,1006,1.0169,147.05572509765625,151.12843322753906,127.43238830566406,147.2093505859375,84.29029846191406,253647,0.24646548859336648,0.008370111685702016
k_41,k_41.png,-K,FNNPK/-K,1024,1007,1.0169,136.47535705566406,141.00387573242188,105.30282592773438,135.57994079589844,72.87950897216797,327986,0.3180723218718967,0.006488758378848064
k_42,k_42.png,-K,FNNPK/-K,1024,1003,1.0209,146.03939819335938,148.77432250976562,117.86864471435547,144.43331909179688,67.99422454833984,231333,0.2252354265329013,0.010142424289631106
k_43,k_43.png,-K,FNNPK/-K,1024,1007,1.0169,139.78268432617188,150.18434143066406,113.61363983154297,142.90516662597656,67.27537536621094,429023,0.41605538573733863,0.00991206088629593
k_44,k_44.png,-K,FNNPK/-K,1024,1003,1.0209,135.73513793945312,149.10647583007812,106.55779266357422,140.25791931152344,73.01811218261719,361394,0.3518682234546361,0.012870567983549352
k_45,k_45.png,-K,FNNPK/-K,1023,1006,1.0169,201.7146759033203,198.99102783203125,164.6695098876953,195.8927459716797,56.84503173828125,155013,0.15062411455023525,0.012423018098641776
k_46,k_46.png,-K,FNNPK/-K,1023,1006,1.0169,199.01934814453125,191.18968200683594,151.84767150878906,189.04576110839844,72.75275421142578,76587,0.07441859109273975,0.016902495097839164
k_47,k_47.png,-K,FNNPK/-K,1023,1006,1.0169,190.12393188476562,192.50428771972656,160.7002410888672,188.16688537597656,65.87286376953125,192969,0.1875054657392886,0.00893077507584017
k_48,k_48.png,-K,FNNPK/-K,1023,1006,1.0169,194.95823669433594,194.03538513183594,157.3553009033203,190.12979125976562,67.7216796875,196152,0.19059834541140255,0.015557680311095305
k_49,k_49.png,-K,FNNPK/-K,1023,1005,1.0179,178.9708251953125,179.2296905517578,143.2686309814453,175.052734375,65.98373413085938,209145,0.2034256868151909,0.010449220174785894
k_5,k_5.png,-K,FNNPK/-K,1020,1002,1.018,150.65164184570312,143.6882781982422,99.41043853759766,140.72267150878906,50.6947021484375,285916,0.2797503033149388,0.009819576533208094
k_50,k_50.png,-K,FNNPK/-K,1023,1006,1.0169,203.58139038085938,202.09864807128906,175.17950439453125,199.4731903076172,60.57844924926758,151235,0.1469530811222596,0.01644483052807301
